,Activity Id,Students Sets,Subject,Teachers,Room,SKS,Schedules
233,234,SE-03-01,23697 - SEA2263 - REKAYASA APLIKASI INTERNET,MSK,LAB,3,Schedule 2
382,383,CE-03-01,23243 - CEA2213 - PEMROGRAMAN BERORIENTASI OBJEK,UBM,KELAS,3,Schedule 2
120,121,TE-03-02,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,KELAS,2,Schedule 2
79,80,IE-02-02,23624 - IEA3243 - SIMULASI KOMPUTER,BIA,KELAS,3,Schedule 2
208,209,IS-03-03,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3,Schedule 2
361,362,IS-04-01,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,SWP,KELAS,3,Schedule 2
61,62,IS-03-02,23811 - ISA2233 - REKAYASA PROSES BISNIS,ARS,KELAS,3,Schedule 2
187,188,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,Schedule 2
199,200,EE-03-01,23338 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,KHL,LAB,1,Schedule 2
43,44,CE-02-01,23370 - TPA3012 - EKONOMI TEKNIK,ARA,KELAS,2,Schedule 2
339,340,EE-02-01,23311 - TPA3012 - EKONOMI TEKNIK,SIL,KELAS,2,Schedule 2
165,166,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,KELAS,2,Schedule 2
34,35,IS-04-04,23795 - MAA1033 - TEORI PROBABILITAS,ANA,KELAS,3,Schedule 2
8,9,TE-04-02,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2,Schedule 2
159,160,IE-04-02,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3,Schedule 2
355,356,TE-03-01,23207 - FEA2211 - PRAKTIKUM ELEKTRONIKA,SSJ,LAB,1,Schedule 2
205,206,IT-02-01,23771 - ITA3233 - DATA WAREHOUSE,KMD,KELAS,3,Schedule 2
36,37,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB,3,Schedule 2
52,53,SE-02-01,23709 - SEA3283 - PEMROGRAMAN MOBILE,ARD,LAB,3,Schedule 2
285,286,IS-03-04,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,KELAS,3,Schedule 2
293,294,IE-03-01,23584 - IEA2221 - PRAKTIKUM PERANCANGAN KERJA DAN ERGONOMI,RDP,LAB,1,Schedule 2
330,331,DB-01-02,23984 - FIB1063 - BAHASA INGGRIS 2,RZK,KELAS,2,Schedule 2
318,319,CE-03-02,23257 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1,Schedule 2
221,222,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,KELAS,3,Schedule 3
253,254,IS-03-01,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NPI,KELAS,3,Schedule 3
333,334,IS-04-01,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2,Schedule 3
20,21,IE-04-02,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,KELAS,2,Schedule 3
160,161,IF-01-01,23920 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2,Schedule 3
188,189,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,Schedule 3
244,245,IE-03-01,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,KELAS,2,Schedule 3
107,108,IE-02-02,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,KELAS,3,Schedule 3
240,241,IS-03-03,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,LAB,3,Schedule 3
351,352,CE-03-01,23271 - FEA2211 - PRAKTIKUM ELEKTRONIKA,SSJ,LAB,1,Schedule 3
