,Activity Id,Students Sets,Subject,Teachers,SKS,Color
68,69,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,3,1
69,70,IS-03-04,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AWS,3,3
70,71,IT-03-02,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,3,5
71,72,IT-03-03,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,3,6
72,73,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,2
73,74,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,5
74,75,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,1
75,76,IT-04-02,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,3,4
76,77,IE-02-01,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,2,7
77,78,IE-02-01,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,BIA,2,8
78,79,IE-02-02,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,2,1
79,80,IE-02-02,23624 - IEA3243 - SIMULASI KOMPUTER,BIA,3,2
80,81,IE-04-01,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,2,3
81,82,IE-04-01,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,1,4
82,83,IE-04-02,23462 - IEA1212 - MENGGAMBAR TEKNIK,BIA,2,5
83,84,IE-04-02,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,1,6
84,85,CE-02-01,23372 - CEA3231 - PRAKTIKUM SISTEM BASIS DATA,BLM,1,4
85,86,CE-02-01,23367 - CEA3233 - SISTEM BASIS DATA,BLM,3,5
86,87,CE-04-01,23168 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,BLM,3,6
87,88,CE-04-01,23186 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,1,7
88,89,EE-04-01,23308 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,1,1
89,90,TE-04-01,23189 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,1,2
90,91,TE-04-02,23189 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,1,3
91,92,IE-04-02,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,BLW,2,9
92,93,DB-01-01,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,3,4
93,94,DB-01-02,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,3,3
94,95,IS-03-05,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,DAU,3,1
95,96,IS-04-02,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,DAU,3,5
96,97,IS-04-03,23799 - ISA1223 - KEPEMIMPINAN DAN KOMUNIKASI INTERPERSONAL,DAU,3,2
97,98,SE-02-01,23719 - SEA30B3 - PENGGALIAN DATA,DEW,3,4
98,99,SE-03-01,23696 - SEA2253 - PERANCANGAN DAN ARSITEKTUR PERANGKAT LUNAK,DEW,3,3
99,100,SE-03-01,23692 - MAA1033 - TEORI PROBABILITAS,DEW,3,7
100,101,IT-03-01,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,3,1
101,102,IT-03-01,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,3,2
102,103,IT-03-01,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,3,3
103,104,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,3,4
104,105,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,3,6
105,106,IT-03-02,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,3,7
106,107,IE-02-01,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,3,4
107,108,IE-02-02,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,3,3
108,109,IE-03-01,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,3,5
109,110,IE-03-02,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,3,6
110,111,IE-03-03,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,3,7
111,112,IE-04-01,23454 - IEA1022 - PENGANTAR ILMU EKONOMI,DMI,2,2
112,113,IE-04-02,23454 - IEA1022 - PENGANTAR ILMU EKONOMI,DMI,2,1
113,114,EE-01-01,23427 - EEA40J3 - INTERNET OF THINGS,DMS,3,1
114,115,EE-02-01,23310 - EEA3231 - PRAKTIKUM SISTEM INSTRUMENTASI DAN PENGUKURAN,DMS,1,6
115,116,EE-03-01,23325 - MAA2213 - MATEMATIKA TEKNIK 2,DMS,3,3
116,117,EE-04-01,23297 - EEA1022 - PENGENALAN TEKNIK ELEKTRO,DMS,2,7
117,118,EE-01-01,23655 - FEA4023 - MANAJEMEN PROYEK,DNR,3,3
118,119,IE-04-01,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,DNR,2,9
119,120,TE-03-01,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,2,10
120,121,TE-03-02,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,2,2
121,122,CE-03-01,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,3,5
122,123,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,2,6
123,124,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,2,7
124,125,CE-03-02,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,3,8
125,126,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,2,9
126,127,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,2,10
127,128,IT-03-01,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,3,7
128,129,IT-03-02,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,3,3
129,130,IT-03-03,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,3,1
130,131,TE-01-01,23340 - TEA40B3 - REKAYASA RADIO,FSA,3,2
131,132,TE-01-02,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,FSA,2,7
132,133,TE-02-01,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,1,3
133,134,TE-02-01,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,3,4
134,135,TE-02-02,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,1,5
135,136,TE-02-02,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,3,6
136,137,TE-03-01,23210 - FEA2223 - ELEKTROMAGNETIKA,FSA,3,1
137,138,SE-02-01,23727 - SEA30D3 - PEMROGRAMAN GAME,FWP,3,8
138,139,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,3,9
139,140,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,3,10
140,141,SE-02-01,23723 - SEA3023 - SISTEM INFORMASI GEOGRAFIS,FWP,3,11
141,142,IT-02-01,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,3,1
142,143,IT-02-02,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,3,2
143,144,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,3,3
144,145,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,3,4
145,146,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,3,5
146,147,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,3,6
147,148,CE-02-01,23279 - CEA30A3 - MANAJEMEN LOGISTIK,GRA,3,9
148,149,EE-02-01,23417 - EEA40F3 - MANAJEMEN LOGISTIK,GRA,3,8
149,150,IE-02-02,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,GRA,3,7
150,151,TE-01-01,23349 - TEA40H3 - NEW GENERATION NETWORKS,HAM,3,3
151,152,TE-01-01,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,HAM,2,4
152,153,TE-02-01,23252 - TEA3221 - PRAKTIKUM ELEKTRONIKA TELEKOMUNIKASI,HAM,1,2
153,154,TE-02-01,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,3,5
154,155,TE-02-02,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,3,1
155,156,DB-01-01,23982 - FIB1022 - KEWARGANEGARAAN,HAR,2,5
156,157,DB-01-02,23982 - FIB1022 - KEWARGANEGARAAN,HAR,2,6
157,158,DS-01-01,23878 - FIB1022 - KEWARGANEGARAAN,HAR,2,7
158,159,IE-04-01,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,3,1
159,160,IE-04-02,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,3,2
160,161,IF-01-01,23920 - FIB1022 - KEWARGANEGARAAN,HAR,2,3
161,162,IF-01-02,23920 - FIB1022 - KEWARGANEGARAAN,HAR,2,4
162,163,IT-04-01,23747 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,3,8
163,164,IT-01-01,23775 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,HEL,2,3
164,165,IT-04-01,23748 - MAA1023 - MATEMATIKA DISKRIT,HEL,3,6
165,166,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,2,2
166,167,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,2,3
